CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SBCT,AERÓDROMO,AFONSO PENA,CURITIBA,PR,25° 31' 54'' S,49° 10' 34'' W,911 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2218 m,45 m,PCN 42/F/A/X/T,Asfalto,11/29,1798 m,45 m,PCN 33/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2013-3007,0,0,0,PA2013-3007,,,,AP-3,1ª,-
SBCV,AERÓDROMO,CARAVELAS,CARAVELAS,BA,17° 39' 2'' S,39° 15' 16'' W,11 m,VFR Diurno,6/24,1530 m,45 m,PCN 32/F/C/X/U,Asfalto,18/36,1150 m,45 m,PCN 32/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2016-0035,0,0,0,PA2016-0035,,,,AD,-,-
SBCX,AERÓDROMO,REGIONAL HUGO CANTERGIANI,CAXIAS DO SUL,RS,29° 11' 44'' S,51° 11' 23'' W,754 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1670 m,30 m,PCN 18/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2003-0017,0,0,0,PD2003-0017,,,,AP-1,3ª,-
SBCY,AERÓDROMO,MARECHAL RONDON,VÁRZEA GRANDE,MT,15° 39' 0'' S,56° 7' 3'' W,188 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,2300 m,45 m,PCN 38/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1970-0120,0,0,0,PD1970-0120,,,,AP-2,1ª,-
SBCZ,AERÓDROMO,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,7° 35' 58'' S,72° 46' 10'' W,194 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2400 m,45 m,PCN 32/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0630,0,0,0,PA2014-0630,,,,AP-1,2ª,-
SBDB,AERÓDROMO,BONITO,BONITO,MS,21° 14' 50'' S,56° 27' 9'' W,334 m,VFR Diurno/Noturno,18/36,2000 m,30 m,PCN 48/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1122,0,0,0,PA2015-1122,,,,AP-1,3ª,-
SBDN,AERÓDROMO,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,SP,22° 10' 42'' S,51° 25' 8'' W,450 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2100 m,35 m,PCN 31/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0009,PD1995-0482,0,0,PD1984-0009,PD1995-0482,,,AP-1,3ª,-
SBDO,AERÓDROMO,DOURADOS,DOURADOS,MS,22° 12' 2'' S,54° 55' 32'' W,458 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,1950 m,30 m,PCN 28/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2332,PA2012-1792,0,0,PA2010-2332,PA2012-1792,,,AP-1,2ª,-
SBEG,AERÓDROMO,EDUARDO GOMES,MANAUS,AM,3° 2' 28'' S,60° 3' 2'' W,80 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2700 m,45 m,PCN 71/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2012-1425,0,0,0,PA2012-1425,,,,AP-2,1ª,-
SBEK,AERÓDROMO,JACAREACANGA,JACAREACANGA,PA,6° 14' 7'' S,57° 46' 33'' W,99 m,VFR Diurno e IFR Diurno,8/26,1600 m,30 m,PCN 36/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0200,0,0,0,PD1984-0200,,,,AD,-,-
