AEROVIA,FIXO
UA312,MOMSO      
UA312,NEBAN      
UA312,OBLEV      
UA312,OIA        
UA312,ORAVU      
UA312,OTONI      
UA312,POPTI      
UA312,POVLA      
UA312,POXUM      
UA312,PUKLA      
UA312,SBBE       
UA312,OGTIT      
UA312,POSKA      
UA312,SBCC       
UA312,MABMA      
UA312,DAPTA      
UA312,EGIMO      
UA312,OSORA      
UA312,SBJC       
UA312,SBMQ       
UA312,SBTE       
UA312,SDVI       
UA312,SELVA      
UA312,SIROS      
UA312,SWSI       
UA312,TENAP      
UA312,TIR        
UA312,UBKAB      
UA312,UBKEG      
UA312,UDIDI      
UA312,VILUX      
UA312,ZORRO      
UA312,UMLEV      
UA312,SIGAX      
UA312,PADIL      
UA312,SWFN       
UA312,UTPAM      
UA312,ISTAR      
UA312,PADAK      
UA312,SBIH       
UA312,KOKLI      
UA312,SBGM       
UA312,COLOR      
UA312,ILSUB      
UA312,TOSAR      
UA312,VULBU      
UA312,ASAPA      
UA312,DOBDA      
UA312,SBCJ       
UA312,ENRUS      
UA312,JANES      
UA312,SBCZ       
UA312,SWGN       
UA312,MASVA      
UA312,LAUPO      
UA312,PAKON      
UA314,ATEXO      
UA314,ATUM       
UA314,BGE        
UA314,BITAK      
UA314,CAX        
UA314,AKNUB      
UA314,GAVEL      
UA314,UGELO      
UA314,ETANO      
UA314,FLN        
UA314,ISALA      
UA314,ISOM       
UA314,JUICE      
UA314,LACON      
UA314,MRC        
UA314,OGRUN      
UA314,ORATO      
UA314,PAJAM      
UA314,PATIN      
UA314,PAUTA      
UA314,PCX        
UA314,POR        
UA314,SBFL       
UA314,SBGL       
UA314,SBPA       
UA314,MLO        
UA314,SBRJ       
UA314,TIBA       
UA314,XAREO      
UA314,MAC        
UA314,PNG        
UA315,VAGAN      
UA315,DOGTO      
UA315,KOVGI      
UA315,MADKO      
UA315,MNS        
UA315,ROLIK      
UA315,ARVOT      
UA316,AROPI      
UA316,BARGE      
UA316,CHAMP      
UA316,DOKBU      
UA316,ESBUL      
UA316,ILRES      
UA316,ISOTI      
UA316,KEVUL      
UA316,MNS        
UA316,MUDAB      
UA316,PAKEM      
UA316,POLEN      
UA316,REDON      
UA316,SIMON      
UA317,CALVO      
UA317,EGIMO      
UA317,ILMOK      
UA317,ISVEX      
UA317,KEVOP      
UA317,MOLTI      
UA317,BUMBA      
UA317,ENACT      
UA317,FRAUD      
UA317,PUBUG      
UA317,RAPAT      
UA317,TOMBO      
UA317,PUKIL      
UA317,ALONG      
UA317,ATYLA      
UA317,NEFAS      
UA317,SBBR       
UA317,SBGR       
UA317,SBKP       
UA317,KOGTU      
UA317,SIGAX      
UA317,SBCY       
UA317,YAU        
UA317,DADOT      
UA317,SORAI      
UA317,UNIDO      
UA317,XINGU      
UA317,BRIDE      
UA317,EDNAR      
UA317,EVNOL      
UA317,GINGA      
UA317,MILIX      
UA317,PADIB      
UA317,BSI        
UA317,LUNAT      
UA317,PAI        
UA317,SBGL       
UA317,ISOPI      
UA317,KUNOS      
UA317,MALMI      
UA317,MAVIK      
UA317,NINDI      
UA317,OPRUX      
UA317,PAPES      
UA317,PAPXX      
UA317,ARENA      
UA317,BRS        
UA317,CROWD      
UA317,EGBES      
UA317,EGOLA      
UA317,TOKIM      
UA317,ALINA      
UA317,AROPI      
UA317,ATF        
UA317,DARDI      
UA317,DEMIT      
UA317,ELANA      
