Fix,Latitude,Longitude
BOMAG,S 19 43 11.84,W 042 30 05.17
BOMAK,S 01 46 31.80,W 054 58 30.60
BOMED,S 13 20 03.00,W 038 40 30.60
BONA,N 01 54 45.00,W 055 36 41.40
BONF,S 12 37 23.40,W 038 30 10.80
BORA,S 25 14 06.60,W 053 36 26.40
BORBA,S 12 21 22.20,W 038 40 25.20
BOTOM,S 23 16 42.00,W 044 04 07.20
BQ001,S 21 11 46.20,W 043 47 06.60
BQ002,S 21 15 43.80,W 044 00 22.20
BQ004,S 21 01 13.77,W 043 50 34.89
BQ007,S 21 05 47.10,W 043 54 19.85
BQ008,S 21 02 58.56,W 043 44 44.33
BQ011,S 21 06 01.20,W 043 48 59.36
BQ012,S 21 10 48.61,W 043 47 23.73
BQ021,S 21 29 07.42,W 043 46 33.83
BQ022,S 21 30 52.06,W 043 40 42.12
BQ023,S 21 26 18.44,W 043 36 56.95
BQ024,S 21 26 04.72,W 043 42 18.19
