Fix,Latitude,Longitude
RC013,S 21 58 35.67,W 039 48 10.87
RC014,S 21 57 56.42,W 039 44 48.64
RC015,S 21 56 54.95,W 039 39 32.70
RC017,S 21 54 54.76,W 039 54 02.03
RC018,S 21 55 46.62,W 040 00 25.21
RDE01,S 23 51 20.52,W 046 56 07.62
RDE02,S 23 45 26.74,W 046 20 30.33
RD001,S 16 39 40.75,W 054 43 33.65
RD002,S 16 45 42.18,W 054 43 39.48
RD003,S 16 47 40.43,W 054 49 34.07
RD004,S 16 47 50.99,W 054 37 48.89
RD006,S 16 50 43.37,W 054 43 44.35
RD011,S 16 29 38.40,W 054 43 24.00
RD012,S 16 24 37.20,W 054 43 19.20
RD013,S 16 18 36.00,W 054 43 13.20
RD014,S 16 22 28.20,W 054 49 09.00
RD016,S 16 22 39.00,W 054 37 25.20
REALY,S 18 24 19.20,W 057 22 39.00
REBAL,S 02 02 45.00,W 048 35 13.80
REBER,N 03 11 40.80,W 052 18 01.80
REBIL,S 21 22 54.76,W 052 00 17.21
REBOX,S 23 24 22.80,W 055 30 52.80
REDAD,S 20 08 11.56,W 044 29 44.51
REDEG,S 07 25 24.60,W 035 23 48.60
REDID,S 11 03 38.58,W 036 37 34.06
REDIV,S 18 12 28.27,W 048 14 53.19
REDOC,S 22 54 10.80,W 051 40 10.20
REDON,S 10 49 10.20,W 061 54 33.00
REDUP,S 21 38 53.76,W 038 55 42.96
REFIL,S 24 34 43.60,W 053 41 44.90
REGEM,S 18 54 16.04,W 049 37 39.10
REGEP,S 02 43 47.42,W 059 47 48.40
REGIK,S 18 53 27.00,W 049 15 14.40
REGIS,S 03 03 32.40,W 028 53 26.40
REGOD,S 21 04 14.40,W 047 40 58.20
REINA,S 18 26 16.80,W 045 34 16.80
REKAB,S 18 25 13.13,W 049 32 37.73
REKE,S 05 49 33.70,W 035 18 22.60
REKIR,S 28 05 45.60,W 054 37 25.80
REKUG,S 23 21 58.88,W 045 24 21.82
RELAV,S 23 11 03.65,W 046 03 33.77
RELES,N 00 22 58.80,W 030 32 29.40
RELEX,S 25 01 32.00,W 049 07 29.00
RELOB,S 27 47 33.00,W 048 22 04.20
RELUL,S 22 11 03.57,W 039 55 34.55
RELUM,S 16 41 39.48,W 051 47 25.42
REMEK,S 20 37 58.80,W 058 06 46.80
REMIG,S 16 36 11.00,W 042 22 19.00
REMIX,S 21 33 13.20,W 051 29 07.20
REMOV,S 21 17 47.40,W 048 01 46.20
REMUB,S 14 39 35.22,W 040 56 05.07
REMUS,S 21 31 42.15,W 044 09 23.01
RENAN,S 22 15 40.20,W 050 03 28.80
RENEV,S 19 01 00.78,W 048 03 22.51
RENIT,S 23 32 58.08,W 046 42 35.42
REORI,S 23 12 16.50,W 046 58 46.10
REPAV,S 09 04 46.27,W 052 56 26.65
REPAX,S 21 30 58.55,W 048 13 31.55
REPET,S 22 07 13.20,W 043 52 03.60
REPID,S 25 36 19.03,W 049 05 22.67
REPOM,S 19 42 24.60,W 044 12 08.40
RESUS,S 13 40 31.80,W 044 07 03.60
RETER,S 21 04 33.60,W 054 58 10.20
RETOL,S 15 51 06.00,W 043 42 58.80
RF001,S 08 13 09.00,W 034 53 33.00
RF003,S 08 19 48.60,W 034 57 43.20
RF004,S 08 23 39.00,W 034 50 04.80
RF007,S 08 02 03.60,W 034 57 12.80
RF008,S 07 57 17.20,W 034 58 47.30
RF009,S 07 55 24.00,W 034 53 02.40
RF011,S 07 59 10.20,W 035 04 31.80
RF013,S 08 13 01.20,W 034 59 34.80
RF014,S 08 05 51.00,W 035 02 19.80
RF015,S 08 41 00.00,W 035 32 30.00
RF016,S 07 49 47.40,W 035 11 27.00
RF018,S 08 53 22.20,W 035 46 30.00
RF019,S 08 09 23.40,W 035 00 46.80
RF033,S 07 36 48.00,W 034 45 24.60
RF034,S 07 12 25.80,W 034 27 37.80
RIBE,S 20 54 46.20,W 048 56 15.00
RICAR,S 06 43 20.40,W 047 10 18.60
RICO,N 03 24 56.40,W 051 42 47.40
RIDAL,S 02 59 10.80,W 055 11 00.00
RIMA,S 27 51 58.20,W 050 38 25.80
RIOG,S 24 56 33.60,W 051 25 57.00
RITA,S 01 42 04.80,W 056 02 29.40
RITMO,S 05 42 25.20,W 064 59 42.00
RIXOM,S 03 36 38.40,W 045 04 43.80
RJ001,S 22 44 33.70,W 043 28 47.36
RJ002,S 22 40 06.26,W 043 28 50.56
RJ003,S 22 45 11.03,W 043 21 11.39
RJ004,S 22 47 27.88,W 043 17 45.34
RJ008,S 22 53 17.53,W 043 09 37.63
RJ009,S 22 54 39.79,W 043 05 09.21
RJ031,S 22 52 57.60,W 043 21 15.60
RJ032,S 22 53 08.40,W 043 15 51.00
RJ034,S 22 55 48.00,W 043 11 15.00
RJ037,S 22 58 19.20,W 043 08 42.00
RJ042,S 22 50 16.80,W 042 57 44.40
RJ054,S 22 53 42.12,W 043 07 03.30
RJ072,S 22 52 02.40,W 043 17 40.20
RJ073,S 22 52 03.60,W 043 14 06.00
RJ074,S 22 52 04.20,W 043 11 17.40
RJ091,S 22 54 48.00,W 043 12 10.20
RJ092,S 22 55 55.80,W 043 11 42.00
RJ093,S 22 55 47.40,W 043 09 42.00
RJ097,S 22 56 06.00,W 043 13 58.20
RJ098,S 22 55 51.00,W 043 10 42.00
RJ104,S 22 47 13.17,W 043 10 03.82
RJ106,S 22 54 07.96,W 043 13 07.97
RJ107,S 22 51 15.60,W 043 15 58.20
RJ108,S 22 52 09.60,W 043 05 55.50
RJ109,S 22 53 06.60,W 043 01 03.60
RJ221,S 23 00 10.80,W 043 07 37.80
RJ222,S 23 05 36.00,W 043 06 37.20
RJ223,S 22 56 22.20,W 043 08 19.80
RJ226,S 22 57 44.40,W 042 57 04.20
RJ227,S 22 56 09.00,W 043 02 12.60
RJ228,S 22 53 45.00,W 043 06 57.60
RJ231,S 22 57 23.63,W 043 08 08.96
RJ232,S 22 56 38.88,W 043 08 54.46
RJ241,S 22 53 08.40,W 043 06 47.50
RJ242,S 22 52 12.70,W 043 08 12.30
RJ243,S 22 53 10.70,W 043 09 54.10
RJ244,S 22 54 16.10,W 043 09 43.60
RJ246,S 22 54 59.00,W 043 09 36.70
RJ247,S 22 56 32.80,W 043 08 34.50
RJ248,S 22 57 23.60,W 043 07 35.10
RJ249,S 23 03 57.58,W 042 56 32.31
RJ251,S 22 54 18.10,W 043 05 01.50
RJ255,S 22 57 43.55,W 042 58 13.62
RJ304,S 23 27 46.22,W 043 55 47.16
RJ306,S 23 13 58.84,W 043 54 53.32
RJ307,S 22 54 53.69,W 043 19 45.39
RJ308,S 22 49 03.80,W 043 26 54.70
RJ309,S 22 40 50.24,W 043 36 58.60
RJ501,S 22 57 21.60,W 043 08 09.00
RJ701,S 22 55 56.39,W 043 09 41.09
RJ702,S 22 56 40.39,W 043 09 11.34
RJ704,S 22 57 50.70,W 043 07 48.31
RJ705,S 22 55 53.14,W 043 08 42.70
RJ706,S 22 59 14.01,W 043 07 35.59
RJ707,S 23 44 06.62,W 043 32 42.19
RJ715,S 22 57 59.13,W 043 08 52.68
RJ804,S 22 55 51.52,W 043 09 41.41
RJ806,S 22 56 33.54,W 043 09 15.17
RJ807,S 22 57 06.63,W 043 08 20.86
RJ808,S 22 57 48.09,W 043 07 52.28
RJ809,S 22 59 14.37,W 043 07 38.45
RJ810,S 22 55 48.27,W 043 08 43.02
RJ815,S 22 57 56.93,W 043 08 56.59
RJ901,S 22 54 16.56,W 043 09 47.56
RJ902,S 22 52 09.56,W 043 05 55.53
RJ903,S 22 54 08.14,W 043 07 16.42
RJ904,S 22 52 04.21,W 043 11 13.94
RJ905,S 22 53 21.06,W 043 11 14.25
RJ906,S 22 53 16.46,W 043 09 51.45
RJ907,S 22 54 59.48,W 043 09 44.78
RJ908,S 22 56 26.95,W 043 09 00.05
RJ909,S 22 58 34.34,W 043 06 31.13
RJ910,S 22 54 51.70,W 043 07 25.04
RJ911,S 22 52 19.85,W 043 08 01.38
RJ915,S 22 53 12.59,W 043 08 41.78
RJ921,S 22 54 10.19,W 043 13 06.77
RJ922,S 22 54 48.46,W 043 12 11.45
RJ923,S 22 55 55.82,W 043 11 42.22
RJ924,S 22 55 47.38,W 043 09 41.68
RJ925,S 22 55 44.06,W 043 08 41.98
RJ926,S 22 56 38.07,W 043 08 55.27
RJ928,S 22 57 23.22,W 043 08 09.04
RJ930,S 22 56 07.27,W 043 13 58.08
RJ931,S 22 55 00.40,W 043 26 05.12
RJ932,S 23 00 24.30,W 042 52 05.18
RJ933,S 22 53 43.26,W 043 05 54.49
RJ935,S 22 57 32.75,W 043 09 08.72
RJ940,S 22 55 50.73,W 043 10 42.02
ROBID,S 23 01 51.21,W 047 32 24.10
ROBOL,S 22 45 48.19,W 043 20 15.29
ROCA,S 27 45 54.60,W 049 54 04.80
ROCHO,S 22 48 41.40,W 046 03 18.00
RODAX,S 23 32 10.20,W 051 21 24.00
RODEB,S 25 24 10.79,W 048 19 39.84
RODES,S 06 30 07.20,W 035 33 31.20
RODIT,S 04 40 34.80,W 039 01 40.20
RODIX,S 22 34 56.94,W 041 27 04.42
RODOT,S 11 23 15.04,W 049 29 25.21
RODRI,S 24 44 37.60,W 053 41 53.50
RODUS,S 24 25 36.00,W 052 44 35.40
ROFIC,N 00 38 06.60,W 051 00 42.00
ROGIM,S 22 18 19.31,W 040 05 32.64
ROGOM,S 25 40 11.72,W 049 01 01.44
ROGUX,S 20 16 42.11,W 043 24 18.72
ROKAD,S 23 02 12.95,W 041 47 23.70
ROKAT,S 02 55 13.80,W 044 17 20.40
ROKE,S 28 39 11.40,W 049 08 54.60
ROKEX,S 23 08 05.79,W 050 25 24.12
ROKON,S 20 12 09.00,W 044 02 10.80
ROKOR,S 21 52 49.33,W 052 16 18.80
ROKUM,S 22 51 27.89,W 046 16 54.32
ROLED,S 29 29 33.00,W 054 41 56.40
ROLIK,S 02 25 21.60,W 060 23 25.80
ROLUR,S 27 11 40.66,W 050 19 47.57
ROLUT,S 02 02 57.12,W 066 42 10.57
ROMAV,S 21 40 55.72,W 041 16 59.68
ROMIB,S 23 24 27.25,W 045 57 45.27
ROMIK,S 17 13 13.20,W 048 43 07.80
ROMOD,S 09 29 35.18,W 035 53 10.28
ROMUS,S 20 30 01.20,W 040 17 34.20
ROMUT,S 22 40 30.20,W 042 04 22.61
RONCA,S 05 42 23.40,W 043 01 16.20
RONEN,S 08 55 22.20,W 060 49 30.00
RONIL,S 12 10 40.80,W 054 41 52.80
RONOD,S 17 43 07.68,W 050 42 49.54
RONOM,S 30 33 25.87,W 051 32 44.43
RONUT,S 25 12 34.20,W 047 15 03.60
RONUX,S 10 23 18.08,W 036 16 00.54
ROPAB,S 02 51 16.18,W 059 59 13.89
ROPAS,S 23 53 57.00,W 044 14 27.60
ROPEN,S 23 31 29.39,W 046 59 08.86
ROPUG,S 18 43 04.53,W 049 42 39.31
RORAX,S 21 28 18.00,W 049 55 54.00
ROREG,S 07 02 08.51,W 035 03 46.14
RORIP,S 18 03 16.80,W 044 26 01.80
RORIT,S 17 31 15.81,W 051 11 19.36
ROTAM,S 01 40 51.60,W 049 04 32.40
ROUSE,S 03 37 51.60,W 066 16 55.80
RP001,S 20 56 15.60,W 047 43 31.20
RP002,S 20 53 11.40,W 047 51 11.40
RP003,S 20 59 43.20,W 047 55 48.00
RP004,S 20 58 00.00,W 047 49 39.60
RP006,S 21 02 48.00,W 047 48 07.20
RP007,S 21 22 57.60,W 047 41 39.60
RP008,S 21 16 25.20,W 047 37 03.00
RP009,S 21 19 52.80,W 047 49 21.60
RP011,S 21 18 09.00,W 047 43 12.60
RP012,S 21 13 21.00,W 047 44 45.00
RUBEN,S 09 42 46.20,W 035 29 44.40
RUBIC,S 16 24 33.60,W 042 40 43.80
RUCA,S 04 13 28.80,W 049 33 48.00
RUCO,S 01 38 48.60,W 056 46 55.80
RUMBA,S 07 07 20.40,W 035 46 22.20
RUSTE,S 12 15 27.60,W 048 14 28.80
RUTLE,S 21 04 36.60,W 048 07 27.60
SAFOK,S 15 20 49.20,W 047 35 41.40
SAFUC,S 06 54 10.80,W 035 06 19.80
SAKRU,S 19 22 34.00,W 048 31 26.94
SAKSI,N 00 50 37.20,W 034 02 25.80
SAKSU,S 22 30 58.20,W 046 16 17.40
SAKVU,S 18 07 50.88,W 043 37 18.08
SALNU,S 04 43 23.40,W 038 58 20.40
SALPU,N 00 26 35.40,W 031 52 38.40
SALTO,S 26 50 49.80,W 051 12 39.00
SALTU,S 23 48 51.98,W 046 36 12.32
SALVI,S 18 54 25.80,W 043 20 12.00
SALVU,S 19 31 00.60,W 041 41 13.80
SAMAR,S 14 42 46.80,W 053 07 10.20
SAMGA,S 19 01 53.40,W 047 36 45.00
SAMGI,S 23 27 18.60,W 045 58 15.60
SAMGO,S 19 28 33.60,W 043 50 38.40
SAMSU,S 21 22 50.40,W 048 02 00.60
SAMTA,S 21 05 01.20,W 048 04 27.60
SAMTI,S 15 22 11.40,W 037 00 28.80
SANBO,S 25 32 04.80,W 048 31 51.00
SANVO,S 13 19 23.40,W 038 16 58.80
SAPGO,N 05 00 00.00,W 045 00 00.00
SAPGU,S 24 00 10.42,W 052 16 58.41
SAPKI,S 17 38 17.31,W 046 14 08.06
SAPMA,S 29 59 53.40,W 050 58 30.60
SAPMI,S 15 59 04.80,W 047 17 40.80
SAPSA,S 14 41 22.20,W 046 21 46.20
SAPSI,S 11 39 43.68,W 038 21 10.67
SAPVU,S 18 48 48.00,W 042 59 07.20
SARA,S 23 51 03.00,W 047 22 40.80
SARBI,S 18 17 37.83,W 049 28 22.78
SARLA,S 19 08 27.49,W 041 42 46.74
SARNO,S 29 48 04.17,W 051 01 41.01
SARTA,S 21 38 58.20,W 048 20 52.20
SARTE,S 22 31 18.00,W 046 13 17.40
SARTU,S 19 44 11.40,W 048 13 22.80
SASBO,S 23 46 13.94,W 046 56 36.99
SASBU,S 20 09 30.00,W 041 12 30.00
SASLA,S 03 39 00.60,W 043 38 07.80
SASNI,S 03 05 43.10,W 060 52 48.13
SASPA,S 22 26 20.66,W 041 20 40.75
SASTI,S 20 06 58.80,W 041 35 55.80
SATBU,S 19 34 33.60,W 040 52 03.60
SATMA,S 08 17 55.80,W 034 51 58.80
SATMI,S 23 27 00.74,W 043 17 44.94
SATNA,S 16 59 15.60,W 048 54 42.00
SATO,S 25 38 10.96,W 049 04 46.78
SAT01,S 23 27 46.00,W 043 55 46.21
SAT02,S 23 13 55.99,W 046 32 16.10
SAVBI,S 17 46 42.30,W 040 20 32.12
SAVIO,S 02 24 28.20,W 044 52 52.20
SAVMO,S 22 08 33.34,W 049 04 37.36
SAVTO,S 10 21 40.11,W 036 17 55.82
SCP01,S 22 56 27.29,W 045 54 48.70
SCP02,S 23 03 19.03,W 046 06 41.58
SCP03,S 23 28 26.51,W 045 58 15.79
SCP05,S 22 57 23.66,W 045 50 21.48
SC001,S 23 06 52.20,W 043 48 27.00
SC002,S 23 03 01.80,W 043 46 35.40
SC003,S 23 07 13.80,W 043 41 55.20
SC004,S 22 59 22.20,W 043 44 48.60
SC006,S 22 52 31.80,W 043 41 28.80
SC007,S 22 48 52.20,W 043 39 42.60
SC008,S 22 42 07.20,W 043 41 48.00
SC012,S 23 08 13.80,W 044 09 05.40
SC013,S 22 08 46.20,W 043 12 17.40
SC014,S 23 10 24.60,W 044 07 49.80
SC016,S 23 04 53.21,W 043 59 58.68
SC017,S 23 04 52.70,W 043 53 27.60
SC018,S 23 05 11.87,W 043 49 51.63
SC019,S 23 06 56.23,W 043 42 20.44
SC021,S 23 04 04.59,W 044 00 24.27
SEBDI,S 14 16 12.60,W 039 49 12.00
SEBKA,S 22 00 50.40,W 047 09 44.40
SEBTI,S 27 35 48.87,W 048 27 41.90
SEDBU,S 22 39 32.41,W 043 04 12.51
SEDGA,S 11 55 40.92,W 059 07 26.58
SEDSU,S 18 22 01.00,W 049 20 00.00
SEDVO,S 17 02 08.73,W 039 55 04.15
SEGLI,S 22 17 42.00,W 042 24 20.50
SEGNO,S 24 42 55.00,W 047 43 09.00
SEGSI,S 12 25 40.71,W 055 38 39.18
SEGSU,S 30 11 16.66,W 051 09 49.48
SEGVO,S 23 46 04.03,W 047 24 40.80
SEKLI,S 17 17 53.40,W 049 05 03.00
SEKLO,S 30 06 28.80,W 056 47 58.20
SEKMI,S 20 41 41.40,W 040 49 13.80
SEKPA,S 23 36 16.20,W 045 54 24.00
SEKPU,S 21 57 07.80,W 047 10 13.80
SEKRA,S 23 00 20.40,W 045 39 49.80
SEKTI,S 23 46 21.60,W 045 55 58.80
SELBO,S 22 44 07.80,W 046 27 46.20
SELDI,S 15 36 13.80,W 046 21 53.40
SELDO,S 19 41 25.20,W 044 40 29.40
SELMU,S 17 18 22.20,W 049 13 10.80
SELPU,S 14 29 06.60,W 043 33 16.80
SELRA,S 22 02 22.80,W 047 37 39.60
SELRI,S 30 14 43.39,W 051 38 16.44
SELRO,S 13 59 27.41,W 058 40 18.04
SEMGI,S 22 58 04.20,W 046 11 36.60
SEMLA,S 02 22 57.05,W 060 27 07.56
SENE,S 09 47 32.68,W 067 46 56.47
SENO,S 21 12 44.40,W 045 12 24.60
SEPKU,S 21 57 07.80,W 047 10 13.80
SERGI,S 25 13 39.60,W 049 26 35.40
SERIM,S 03 07 27.00,W 020 24 27.00
SERRA,S 22 37 13.80,W 049 41 54.00
SETA,S 06 38 50.40,W 057 35 00.00
SEVIL,S 07 02 26.40,W 035 50 26.40
SG008,S 06 07 52.20,W 035 21 53.40
SG009,S 05 40 09.00,W 035 24 37.80
SIAPA,S 08 22 40.80,W 035 33 16.20
SIBUM,S 25 20 03.60,W 049 23 33.60
SIBUT,S 17 17 28.80,W 049 20 46.20
SIDAK,S 19 38 21.00,W 058 12 28.20
SIDIT,S 32 24 34.72,W 052 41 01.10
SIDOK,S 22 49 10.20,W 051 46 28.80
SIDOL,S 19 04 06.60,W 044 20 35.40
SIDOM,S 23 04 03.60,W 047 42 57.00
SIDOP,S 19 36 03.60,W 042 56 00.00
SIDOV,S 20 21 51.60,W 047 52 54.00
SIDOX,S 25 21 23.40,W 047 35 28.80
SIDUB,N 03 23 50.40,W 061 02 27.00
SIDUG,S 14 45 19.53,W 047 50 53.00
SIDUL,S 30 32 56.40,W 055 10 33.60
SIDUR,S 22 45 16.08,W 044 13 05.00
SIDUS,S 22 46 03.00,W 045 56 49.20
SIGAK,S 21 52 30.60,W 049 11 41.40
SIGAM,S 20 15 45.60,W 043 33 23.40
SIGAR,S 24 03 05.00,W 052 07 19.00
SIGAS,S 27 52 25.80,W 054 27 15.00
SIGAT,S 22 17 22.20,W 046 30 49.80
SIGAV,S 19 17 45.00,W 043 27 30.00
SIGAX,S 12 57 36.00,W 053 30 04.80
SIGEL,S 19 56 03.00,W 043 14 54.60
SIGEP,S 03 17 00.60,W 059 01 49.80
SIGER,S 16 12 35.40,W 046 56 57.60
SIGEX,S 18 47 18.60,W 048 37 25.80
SIGIG,S 15 12 48.00,W 048 19 39.00
SIGIL,S 23 49 23.40,W 046 10 27.00
SIGIR,S 18 14 47.40,W 044 03 51.60
SIGIT,S 06 08 10.80,W 035 11 33.00
SIGIX,S 07 11 07.20,W 071 59 56.40
SIGOB,S 08 28 16.20,W 073 20 18.00
SIGOK,S 17 37 24.00,W 044 04 19.20
SIGOP,S 21 52 10.20,W 046 44 22.20
SIKEG,S 18 58 58.35,W 048 39 01.74
SIKEM,S 23 07 00.43,W 045 45 05.96
SIKIL,S 04 59 59.98,W 042 49 46.50
SIKUK,S 13 01 00.04,W 037 40 57.41
SIKVI,S 22 44 15.60,W 041 40 48.00
SILAB,S 05 09 35.29,W 043 03 02.47
SILAP,S 08 20 55.80,W 063 54 09.60
SILEL,S 22 30 47.95,W 043 10 50.25
SILEP,S 28 15 54.60,W 052 23 18.46
SILIC,S 11 10 39.00,W 065 22 01.80
SILID,S 29 45 17.40,W 051 01 19.20
SILIS,S 21 54 09.00,W 040 14 36.00
SILOX,S 22 04 02.00,W 047 20 26.00
SILUB,S 20 22 02.64,W 044 03 04.44
SILVI,S 28 42 12.80,W 049 19 31.40
SIMAD,S 10 27 52.83,W 036 35 43.37
SIMEL,S 08 37 24.00,W 064 12 04.20
SIMID,S 23 10 31.78,W 046 03 28.06
SIMIP,S 06 42 04.00,W 069 02 22.00
SIMIS,S 12 20 57.00,W 049 51 50.00
SIMIV,S 20 37 21.22,W 052 37 07.54
SIMON,S 04 21 44.63,W 069 58 54.65
SIMUM,S 22 30 09.38,W 042 13 47.08
SIMUV,S 15 33 25.72,W 047 20 47.90
SINED,S 10 01 09.48,W 067 49 04.98
SINEK,S 19 32 10.21,W 043 44 29.82
SINEX,S 29 36 45.00,W 053 26 55.80
SINIL,S 21 56 35.52,W 052 52 11.29
SINIP,S 16 35 01.95,W 054 38 23.99
SINIS,S 21 38 42.53,W 048 41 00.74
SINOL,N 01 30 14.40,W 051 18 12.00
SINOS,S 29 54 49.22,W 051 14 53.28
SINUN,S 02 35 01.34,W 061 12 31.09
SIOGA,S 20 32 37.20,W 053 57 52.80
SIPAD,S 22 06 42.80,W 043 52 45.59
SIPAK,S 09 45 19.80,W 059 23 09.00
SIPEX,S 06 28 06.00,W 040 29 35.00
SIPID,S 24 26 42.35,W 047 46 36.61
SIPIN,S 20 07 08.96,W 044 01 44.15
SIPIS,S 04 33 15.15,W 053 30 34.52
SIPOR,S 24 30 34.80,W 049 44 33.60
SIPOT,S 11 32 14.00,W 052 16 22.00
SIPOV,S 03 30 03.00,W 068 12 54.00
SIPOX,S 02 22 12.60,W 060 11 19.20
SIPUK,S 24 17 31.20,W 046 26 36.60
SIRAB,S 25 43 36.65,W 049 14 35.16
SIRAP,S 20 37 21.77,W 042 00 27.61
SIREL,S 20 34 22.20,W 039 58 53.40
SIREM,S 16 33 00.60,W 048 38 46.80
SIRI,S 04 15 25.20,W 032 40 39.00
SIRIS,S 21 01 51.00,W 053 01 49.20
SIROS,N 02 28 16.80,W 054 41 31.80
SIRUL,S 17 42 43.05,W 048 32 02.51
SISAV,S 03 54 43.80,W 038 59 54.00
SISEM,S 26 27 19.75,W 047 46 04.52
SISER,S 22 49 43.80,W 042 50 42.60
SISET,S 13 07 39.00,W 013 03 09.00
SJC01,S 23 16 10.93,W 045 49 03.07
SJC02,S 23 22 49.37,W 045 41 18.82
SJC03,S 23 16 48.63,W 045 48 30.09
SJC04,S 23 15 45.23,W 045 49 39.76
SJ001,S 22 33 47.98,W 045 43 02.87
SJ002,S 23 19 14.52,W 045 27 28.04
SJ003,S 23 59 32.00,W 045 49 53.53
SJ004,S 23 50 56.48,W 045 54 15.29
SJ006,S 23 11 27.70,W 045 42 06.25
SJ007,S 23 27 53.74,W 045 58 56.53
SJ008,S 23 02 56.88,W 045 41 53.18
SJ009,S 22 59 50.95,W 045 50 43.01
SJ011,S 22 55 52.93,W 045 55 00.25
SJ012,S 23 02 32.88,W 046 06 04.04
SJ013,S 22 55 26.54,W 045 50 34.12
SJ014,S 23 13 28.22,W 045 32 47.03
SJ016,S 23 18 09.03,W 045 33 19.74
SJ017,S 23 08 50.95,W 045 45 42.88
SJ018,S 23 05 26.27,W 045 39 54.24
SJ019,S 23 26 36.59,W 045 21 04.56
SJ021,S 23 26 57.00,W 045 04 25.80
SJ022,S 22 38 32.47,W 046 10 11.45
SJ044,S 23 09 38.16,W 045 56 09.57
SJ046,S 23 21 17.11,W 045 43 30.72
SJ047,S 23 17 44.71,W 045 47 21.67
SJ048,S 22 18 50.96,W 046 12 36.95
SL051,S 02 48 18.60,W 044 24 40.80
SL052,S 02 48 48.00,W 044 17 49.20
SL053,S 02 41 39.60,W 044 26 34.20
SL054,S 02 43 37.80,W 044 20 54.00
SL056,S 02 39 43.80,W 044 17 45.60
SL057,S 02 22 19.80,W 044 03 43.80
SL058,S 02 28 58.80,W 044 01 50.40
SL059,S 02 21 50.40,W 044 10 35.40
SL061,S 02 27 00.60,W 044 07 30.00
SL062,S 02 30 55.20,W 044 10 39.00
SL373,S 02 38 09.60,W 044 16 30.00
SMA01,S 29 41 54.80,W 053 49 38.76
SMA15,S 29 42 15.07,W 053 46 11.29
SMA29,S 29 42 46.59,W 053 40 33.97
SMA33,S 29 29 05.90,W 053 47 08.42
SMA34,S 29 39 35.80,W 053 58 27.03
SMA35,S 29 43 21.96,W 053 33 38.32
SMA36,S 29 43 08.89,W 053 36 12.00
SMA37,S 29 42 58.28,W 053 38 16.82
SM001,S 29 41 38.40,W 054 00 34.20
SM002,S 29 36 15.00,W 053 55 39.00
SM003,S 29 47 31.80,W 053 56 26.40
SM004,S 29 42 01.20,W 053 53 41.40
SM006,S 29 42 19.80,W 053 47 57.60
SM007,S 29 45 43.20,W 053 31 18.60
SN001,S 02 27 03.84,W 054 58 04.17
SN002,S 02 26 15.45,W 054 53 08.32
SN003,S 02 29 34.70,W 054 36 06.30
SN004,S 02 27 52.20,W 055 03 00.02
SN006,S 02 21 06.75,W 054 59 01.88
SN007,S 02 33 00.92,W 054 57 06.45
SN361,S 02 28 01.80,W 055 03 59.40
SN362,S 02 32 59.40,W 054 59 11.40
SN363,S 02 21 48.00,W 055 01 00.00
SN364,S 02 27 03.60,W 054 58 04.20
SN366,S 02 26 15.60,W 054 53 08.40
SN367,S 02 22 39.60,W 054 31 09.00
SN368,S 02 17 42.00,W 054 35 57.00
SN369,S 02 28 53.40,W 054 34 08.40
SN371,S 02 23 37.80,W 054 37 04.20
SN372,S 02 24 25.80,W 054 42 00.00
SN373,S 02 24 45.60,W 054 43 58.20
SN377,S 02 25 55.80,W 054 51 09.60
SOBID,S 02 05 08.40,W 055 23 27.60
SOBOL,S 14 35 40.20,W 047 56 53.40
SOLDO,S 10 10 33.60,W 046 21 42.00
SONI,S 03 01 15.60,W 064 59 29.40
SORSA,S 24 39 55.00,W 040 57 33.00
SOSBU,S 17 00 41.84,W 054 59 35.31
SOSDA,S 21 52 22.92,W 046 13 43.75
SOSKI,S 23 07 00.94,W 045 52 45.84
SOTBI,S 09 17 53.51,W 056 52 57.72
SOTPI,S 23 14 43.60,W 045 37 35.08
SOTPO,S 21 48 46.80,W 045 03 19.20
SOVKO,S 02 56 58.61,W 060 12 07.10
SOVLO,S 23 18 05.00,W 046 32 08.66
SOVSI,S 24 06 19.77,W 047 28 19.88
SOVTA,S 25 19 57.56,W 049 14 13.57
SO001,S 12 23 54.63,W 055 37 40.95
SO002,S 12 19 29.40,W 055 35 15.44
SO003,S 12 14 11.10,W 055 32 20.94
SO004,S 12 14 59.23,W 055 39 19.86
SO006,S 12 20 21.77,W 055 29 11.53
SO008,S 12 33 30.83,W 055 42 57.39
SO009,S 12 37 58.84,W 055 45 24.74
SO011,S 12 43 16.99,W 055 48 19.77
SO012,S 12 37 06.13,W 055 51 29.00
SO013,S 12 42 29.12,W 055 41 20.08
SPINO,S 13 51 28.80,W 041 24 26.40
SPRIN,S 04 35 58.80,W 069 47 37.80
SP001,S 23 37 19.46,W 046 34 14.40
SP002,S 23 49 04.52,W 046 39 09.95
SP003,S 23 39 51.39,W 046 45 33.81
SP004,S 23 34 40.50,W 046 41 24.65
SP006,S 24 05 32.80,W 046 45 10.15
SP007,S 23 44 14.94,W 046 15 30.64
SP008,S 23 34 32.48,W 046 41 27.38
SP009,S 23 37 43.67,W 046 09 43.25
SP011,S 22 54 55.44,W 047 27 05.30
SP012,S 22 31 02.15,W 047 32 52.83
SP013,S 22 51 59.58,W 047 00 54.92
SP019,S 23 42 08.28,W 046 43 58.91
SP021,S 23 40 37.20,W 046 37 18.00
SP043,S 23 42 18.89,W 046 36 07.42
SP059,S 23 41 52.80,W 046 46 23.05
SP061,S 23 39 39.00,W 046 47 58.72
